NASDAQ Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,NASDAQ,Common Stock
AGRI,AgriFORCE  Growing Systems Ltd. - Common Shares,S,N,D,100,N,N,NASDAQ,No
AGRIW,AgriFORCE  Growing Systems Ltd. - Warrant,S,N,N,100,N,N,NASDAQ,No
AGRX,"Agile Therapeutics, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,Yes
AGYS,"Agilysys, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,G,N,N,100,Y,N,NASDAQ,No
AHCO,AdaptHealth Corp.  - Common Stock,S,N,N,100,N,N,NASDAQ,Yes
AHG,Akso Health Group - American Depositary Shares,S,N,D,100,N,N,NASDAQ,No
AHI,Advanced Health Intelligence Ltd. - American Depositary Shares,S,N,N,100,N,N,NASDAQ,No
AIA,iShares Asia 50 ETF,G,N,N,100,Y,N,NASDAQ,No
AIB,AIB Acquisition Corporation - Class A Ordinary Shares,G,N,D,100,N,N,NASDAQ,No
AIBBR,AIB Acquisition Corporation - Right,G,N,D,100,N,N,NASDAQ,No
AIBBU,AIB Acquisition Corporation - Unit,G,N,D,100,N,N,NASDAQ,No
AIH,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,S,N,D,100,N,N,NASDAQ,No
AIHS,Senmiao Technology Limited - Common Stock,S,N,D,100,N,N,NASDAQ,Yes
AIMAU,Aimfinity Investment Corp. I - Unit,G,N,N,100,N,N,NASDAQ,No
AIMAW,Aimfinity Investment Corp. I - Warrant,G,N,N,100,N,N,NASDAQ,No
AIMBU,Aimfinity Investment Corp. I - Subunit,G,N,N,100,N,N,NASDAQ,No
AIMD,"Ainos, Inc. - common stock",S,N,D,100,N,N,NASDAQ,Yes
AIMDW,"Ainos, Inc. - warrants",S,N,N,100,N,N,NASDAQ,No
AIP,"Arteris, Inc.  - Common Stock",G,N,N,100,N,N,NASDAQ,Yes
AIQ,Global X Artificial Intelligence & Technology ETF,G,N,N,100,Y,N,NASDAQ,No
AIRG,"Airgain, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
AIRR,First Trust RBA American Industrial Renaissance ETF,G,N,N,100,Y,N,NASDAQ,No
AIRS,"AirSculpt Technologies, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,Yes
AIRT,"Air T, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,Yes
AIRTP,"Air T, Inc. - Trust Preferred Securities",G,N,N,100,N,N,NASDAQ,No
AIXI,XIAO-I Corporation - American Depositary Shares,G,N,N,100,N,N,NASDAQ,No
AKAM,"Akamai Technologies, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AKAN,Akanda Corp. - Common Shares,S,N,D,100,N,N,NASDAQ,No
AKBA,"Akebia Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
AKLI,"Akili, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
AKRO,"Akero Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AKTS,"Akoustis Technologies, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
AKTX,Akari Therapeutics Plc - American Depositary Shares,S,N,N,100,N,N,NASDAQ,No
AKU,Akumin Inc. - Common Shares,S,N,D,100,N,N,NASDAQ,No
AKYA,"Akoya BioSciences, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ALAR,Alarum Technologies Ltd. - American Depositary Shares,S,N,N,100,N,N,NASDAQ,No
ALBT,Avalon GloboCare Corp. - Common Stock,S,N,N,100,N,N,NASDAQ,Yes
ALCO,"Alico, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,G,N,N,100,N,N,NASDAQ,No
ALCYU,Alchemy Investments Acquisition Corp 1 - Units,G,N,N,100,N,N,NASDAQ,No
ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,G,N,N,100,N,N,NASDAQ,No
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ALEC,"Alector, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ALGM,"Allegro MicroSystems, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ALGN,"Align Technology, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ALGS,"Aligos Therapeutics, Inc. - Common stock",Q,N,D,100,N,N,NASDAQ,Yes
ALGT,Allegiant Travel Company - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ALHC,"Alignment Healthcare, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ALIM,"Alimera Sciences, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,Yes
ALKS,Alkermes plc - Ordinary Shares,Q,N,N,100,N,N,NASDAQ,No
ALKT,"Alkami Technology, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ALLK,Allakos Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ALLO,"Allogene Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ALLR,"Allarity Therapeutics, Inc. - Common stock",S,N,N,100,N,N,NASDAQ,Yes
ALLT,Allot Ltd. - Ordinary Shares,Q,N,N,100,N,N,NASDAQ,No
ALNT,Allient Inc. - Common Stock,G,N,N,100,N,N,NASDAQ,Yes
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ALOR,ALSP Orchid Acquisition Corporation I - Class A Ordinary Share,G,N,D,100,N,N,NASDAQ,No
ALORU,ALSP Orchid Acquisition Corporation I - Unit,G,N,D,100,N,N,NASDAQ,No
ALORW,ALSP Orchid Acquisition Corporation I - Warrant,G,N,D,100,N,N,NASDAQ,No
ALOT,"AstroNova, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,Yes
ALPN,"Alpine Immune Sciences, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,Yes
ALPP,"Alpine 4 Holdings, Inc. - Class A Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ALRM,"Alarm.com Holdings, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ALRN,"Aileron Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ALRS,Alerus Financial Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,Yes
ALSA,Alpha Star Acquisition Corporation - Ordinary Shares,G,N,N,100,N,N,NASDAQ,No
ALSAR,Alpha Star Acquisition Corporation - Rights,G,N,N,100,N,N,NASDAQ,No
ALSAU,Alpha Star Acquisition Corporation - Units,G,N,N,100,N,N,NASDAQ,No
ALSAW,Alpha Star Acquisition Corporation - Warrants,G,N,N,100,N,N,NASDAQ,No
ALT,"Altimmune, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,Yes
ALTI,"AlTi Global, Inc. - Class A Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ALTO,"Alto Ingredients, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ALTR,Altair Engineering Inc. - Class A Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ALTU,Altitude Acquisition Corp. - Class A Common Stock,S,N,N,100,N,N,NASDAQ,Yes
ALTUU,Altitude Acquisition Corp. - Unit,S,N,N,100,N,N,NASDAQ,No
ALTUW,Altitude Acquisition Corp. - Warrant,S,N,N,100,N,N,NASDAQ,No
ALTY,Global X Alternative Income ETF,G,N,N,100,Y,N,NASDAQ,No
ALVO,Alvotech - Ordinary Shares,G,N,N,100,N,N,NASDAQ,No
ALVOW,Alvotech - Warrant,G,N,N,100,N,N,NASDAQ,No
ALVR,"AlloVir, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ALXO,ALX Oncology Holdings Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ALYA,Alithya Group inc. - Class A subordinate voting shares,S,N,N,100,N,N,NASDAQ,No
ALZN,"Alzamend Neuro, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,Yes
AMAL,Amalgamated Financial Corp. - Common Stock,G,N,N,100,N,N,NASDAQ,Yes
AMAM,Ambrx Biopharma Inc. - American Depositary Shares,Q,N,N,100,N,N,NASDAQ,No
AMAO,American Acquisition Opportunity Inc. - Class A Common Stock,S,N,D,100,N,N,NASDAQ,Yes
AMAOU,American Acquisition Opportunity Inc. - Units,S,N,D,100,N,N,NASDAQ,No
AMAOW,American Acquisition Opportunity Inc. - Warrant,S,N,D,100,N,N,NASDAQ,No
AMAT,"Applied Materials, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AMBA,"Ambarella, Inc. - Ordinary Shares",Q,N,N,100,N,N,NASDAQ,No
AMCX,AMC Networks Inc. - Class A Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
AMD,"Advanced Micro Devices, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AMDS,GraniteShares 1x Short AMD Daily ETF,G,N,N,100,Y,N,NASDAQ,No
AMED,Amedisys Inc - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
AMEH,"Apollo Medical Holdings, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
AMGN,Amgen Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
AMID,Argent Mid Cap ETF,G,N,N,100,Y,N,NASDAQ,No
AMKR,"Amkor Technology, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AMLI,American Lithium Corp. - Common Stock,S,N,N,100,N,N,NASDAQ,Yes
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AMNB,"American National Bankshares, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AMPG,"Amplitech Group, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
AMPGW,"Amplitech Group, Inc. - Warrants",S,N,N,100,N,N,NASDAQ,No
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AMPL,"Amplitude, Inc. - Class A Common Stock",S,N,N,100,N,N,NASDAQ,Yes
AMRK,"A-Mark Precious Metals, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AMRN,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",G,N,N,100,N,N,NASDAQ,No
AMSC,American Superconductor Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
AMSF,"AMERISAFE, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AMST,Amesite Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,Yes
AMSWA,"American Software, Inc. - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AMTI,Applied Molecular Transport Inc. - common stock,S,N,D,100,N,N,NASDAQ,Yes
AMTX,"Aemetis, Inc - Common Stock",G,N,N,100,N,N,NASDAQ,Yes
AMWD,American Woodmark Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
AMZD,Direxion Daily AMZN Bear 1X Shares,G,N,N,100,Y,N,NASDAQ,No
AMZN,"Amazon.com, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AMZU,Direxion Daily AMZN Bull 1.5X Shares,G,N,N,100,Y,N,NASDAQ,No
ANAB,"AnaptysBio, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ANDE,"The Andersons, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
ANEB,"Anebulo Pharmaceuticals, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ANGH,Anghami Inc. - Ordinary Shares,G,N,D,100,N,N,NASDAQ,No
